,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
0,0.38,0.53,2.0,157,3.0,No,Yes,No,sales,low
1,0.8,0.86,5.0,262,6.0,No,Yes,No,sales,medium
2,0.11,0.88,7.0,272,4.0,No,Yes,No,sales,medium
3,0.72,0.87,5.0,223,5.0,No,Yes,No,sales,low
4,0.37,0.52,2.0,159,3.0,No,Yes,No,sales,low
5,0.41,0.5,2.0,153,3.0,No,Yes,No,sales,low
6,0.1,0.77,6.0,247,4.0,No,Yes,No,sales,low
7,0.92,0.85,5.0,259,5.0,No,Yes,No,sales,low
8,0.89,1.0,5.0,224,5.0,No,Yes,No,sales,low
9,0.42,0.53,2.0,142,3.0,No,Yes,No,sales,low
10,0.45,0.54,2.0,135,3.0,No,Yes,No,sales,low
11,0.11,0.81,6.0,305,4.0,No,Yes,No,sales,low
12,0.84,0.92,4.0,234,5.0,No,Yes,No,sales,low
13,0.41,0.55,2.0,148,3.0,No,Yes,No,sales,low
14,0.36,0.56,2.0,137,3.0,No,Yes,No,sales,low
15,0.38,0.54,2.0,143,3.0,No,Yes,No,sales,low
16,0.45,0.47,2.0,160,3.0,No,Yes,No,sales,low
17,0.78,0.99,4.0,255,6.0,No,Yes,No,sales,low
18,0.45,0.51,2.0,160,3.0,Yes,Yes,Yes,sales,low
19,0.76,0.89,5.0,262,5.0,No,Yes,No,sales,low
20,0.11,0.83,6.0,282,4.0,No,Yes,No,sales,low
21,0.38,0.55,2.0,147,3.0,No,Yes,No,sales,low
22,0.09,0.95,6.0,304,4.0,No,Yes,No,sales,low
23,0.4,0.53,2.0,158,3.0,No,Yes,No,sales,low
24,0.89,0.92,5.0,242,5.0,No,Yes,No,sales,low
25,0.82,0.87,4.0,239,5.0,No,Yes,No,sales,low
26,0.4,0.49,2.0,135,3.0,No,Yes,No,sales,low
27,0.41,0.46,2.0,128,3.0,No,Yes,No,accounting,low
28,0.38,0.5,2.0,132,3.0,No,Yes,No,accounting,low
29,0.09,0.62,6.0,294,4.0,No,Yes,No,accounting,low
30,0.45,0.57,2.0,134,3.0,No,Yes,No,hr,low
31,0.4,0.51,2.0,145,3.0,No,Yes,No,hr,low
