Team,Number,Position,Age,Weight,Salary,HeightInInches,dummies_C,dummies_PF,dummies_PG,dummies_SF,dummies_SG
BC,0.0,PG,25.0,180.0,7730337.0,74,False,False,True,False,False
BC,99.0,SF,25.0,235.0,6796117.0,78,False,False,False,True,False
BC,30.0,SG,27.0,205.0,4842684.105381166,77,False,False,False,False,True
BC,28.0,SG,22.0,185.0,1148640.0,77,False,False,False,False,True
BC,8.0,PF,29.0,231.0,5000000.0,82,False,True,False,False,False
BC,90.0,PF,29.0,240.0,12000000.0,81,False,True,False,False,False
BC,55.0,PF,21.0,235.0,1170960.0,80,False,True,False,False,False
BC,41.0,C,25.0,238.0,2165160.0,84,True,False,False,False,False
BC,12.0,PG,22.0,190.0,1824360.0,74,False,False,True,False,False
BC,36.0,PG,22.0,220.0,3431040.0,76,False,False,True,False,False
BC,7.0,C,24.0,260.0,2569260.0,81,True,False,False,False,False
BC,4.0,PG,27.0,185.0,6912869.0,69,False,False,True,False,False
BC,11.0,SG,27.0,220.0,3425510.0,79,False,False,False,False,True
BC,13.0,SG,20.0,215.0,1749840.0,78,False,False,False,False,True
BC,44.0,C,26.0,253.0,2616975.0,84,True,False,False,False,False
Brooklyn Nets,44.0,SG,27.0,216.0,3425510.0,80,False,False,False,False,True
Brooklyn Nets,22.0,SG,24.0,190.0,845059.0,75,False,False,False,False,True
Brooklyn Nets,21.0,SG,28.0,200.0,1500000.0,76,False,False,False,False,True
Brooklyn Nets,24.0,SG,21.0,220.0,1335480.0,79,False,False,False,False,True
Brooklyn Nets,2.0,PG,32.0,200.0,6300000.0,75,False,False,True,False,False
Brooklyn Nets,10.0,SG,22.0,208.0,1599840.0,79,False,False,False,False,True
Brooklyn Nets,6.0,SG,26.0,219.0,134215.0,76,False,False,False,False,True
Brooklyn Nets,0.0,PG,23.0,175.0,1500000.0,71,False,False,True,False,False
Brooklyn Nets,11.0,C,28.0,275.0,19689000.0,84,True,False,False,False,False
Brooklyn Nets,1.0,PF,21.0,200.0,1140240.0,83,False,True,False,False,False
Brooklyn Nets,33.0,PF,26.0,220.0,947276.0,82,False,True,False,False,False
Brooklyn Nets,41.0,PF,25.0,237.0,981348.0,82,False,True,False,False,False
Brooklyn Nets,14.0,C,26.0,248.0,947276.0,82,True,False,False,False,False
Brooklyn Nets,15.0,PG,28.0,205.0,947276.0,75,False,False,True,False,False
Brooklyn Nets,30.0,PF,27.0,221.0,11235955.0,80,False,True,False,False,False
New York Knicks,4.0,SG,30.0,210.0,8000000.0,77,False,False,False,False,True
New York Knicks,17.0,PF,33.0,220.0,1635476.0,81,False,True,False,False,False
New York Knicks,43.0,SF,23.0,205.0,30888.0,79,False,False,False,True,False
New York Knicks,7.0,SF,32.0,240.0,22875000.0,80,False,False,False,True,False
New York Knicks,3.0,PG,34.0,200.0,7402812.0,75,False,False,True,False,False
New York Knicks,11.0,SF,25.0,210.0,845059.0,80,False,False,False,True,False
New York Knicks,2.0,SG,24.0,200.0,845059.0,74,False,False,False,False,True
New York Knicks,13.0,PG,23.0,195.0,1572360.0,76,False,False,True,False,False
New York Knicks,8.0,C,28.0,255.0,12650000.0,84,True,False,False,False,False
New York Knicks,9.0,PF,26.0,250.0,3750000.0,82,False,True,False,False,False
New York Knicks,6.0,PF,20.0,240.0,4131720.0,87,False,True,False,False,False
New York Knicks,1.0,C,26.0,278.0,2814000.0,82,True,False,False,False,False
New York Knicks,42.0,SF,28.0,235.0,1636842.0,80,False,False,False,True,False
New York Knicks,18.0,SG,32.0,195.0,947276.0,79,False,False,False,False,True
New York Knicks,23.0,PF,25.0,240.0,4000000.0,80,False,True,False,False,False
New York Knicks,5.0,SG,23.0,205.0,167406.0,78,False,False,False,False,True
Philadelphia 76ers,42.0,PF,37.0,254.0,4842684.105381166,81,False,True,False,False,False
Philadelphia 76ers,0.0,PG,25.0,201.0,947276.0,72,False,False,True,False,False
Philadelphia 76ers,33.0,SF,25.0,215.0,1000000.0,81,False,False,False,True,False
Philadelphia 76ers,21.0,C,22.0,250.0,4626960.0,84,True,False,False,False,False
Philadelphia 76ers,39.0,SF,22.0,210.0,845059.0,80,False,False,False,True,False
Philadelphia 76ers,22.0,PF,22.0,245.0,1074169.0,82,False,True,False,False,False
Philadelphia 76ers,7.0,PF,32.0,248.0,6500000.0,81,False,True,False,False,False
Philadelphia 76ers,5.0,PG,24.0,200.0,2144772.0,76,False,False,True,False,False
Philadelphia 76ers,12.0,PG,24.0,200.0,525093.0,74,False,False,True,False,False
Philadelphia 76ers,4.0,PF,22.0,228.0,3457800.0,83,False,True,False,False,False
Philadelphia 76ers,8.0,C,20.0,275.0,4582680.0,83,True,False,False,False,False
Philadelphia 76ers,1.0,PG,27.0,175.0,947276.0,72,False,False,True,False,False
Philadelphia 76ers,11.0,SG,22.0,205.0,2869440.0,78,False,False,False,False,True
Philadelphia 76ers,31.0,SG,25.0,206.0,947276.0,80,False,False,False,False,True
Philadelphia 76ers,35.0,PF,20.0,220.0,525093.0,83,False,True,False,False,False
Toronto Raptors,8.0,C,23.0,245.0,2814000.0,81,True,False,False,False,False
Toronto Raptors,20.0,SF,20.0,205.0,1524000.0,81,False,False,False,True,False
Toronto Raptors,5.0,SF,29.0,212.0,13600000.0,80,False,False,False,True,False
Toronto Raptors,10.0,SG,26.0,220.0,10050000.0,79,False,False,False,False,True
Toronto Raptors,3.0,PF,29.0,250.0,2500000.0,81,False,True,False,False,False
Toronto Raptors,6.0,PG,24.0,190.0,7000000.0,75,False,False,True,False,False
Toronto Raptors,7.0,PG,30.0,205.0,12000000.0,72,False,False,True,False,False
Toronto Raptors,92.0,C,23.0,220.0,1842000.0,84,True,False,False,False,False
Toronto Raptors,54.0,PF,27.0,235.0,6268675.0,81,False,True,False,False,False
Toronto Raptors,24.0,SG,23.0,215.0,650000.0,76,False,False,False,False,True
Toronto Raptors,31.0,SF,25.0,195.0,3553917.0,79,False,False,False,True,False
Toronto Raptors,4.0,PF,36.0,240.0,2900000.0,81,False,True,False,False,False
