Team,Number,Position,Age,Weight,HeightInInches,Salary,Position_C,Position_PF,Position_PG,Position_SF,Position_SG
Philadelphia 76ers,8.0,C,20.0,275.0,83,4582680.0,1,0,0,0,0
Detroit Pistons,3.0,SF,20.0,245.0,79,2841960.0,0,0,0,1,0
Minnesota Timberwolves,32.0,C,20.0,244.0,84,5703600.0,1,0,0,0,0
Indiana Pacers,33.0,PF,20.0,243.0,83,2357760.0,0,1,0,0,0
New York Knicks,6.0,PF,20.0,240.0,87,4131720.0,0,1,0,0,0
Portland Trail Blazers,34.0,PF,20.0,240.0,80,525093.0,0,1,0,0,0
Portland Trail Blazers,21.0,PF,20.0,240.0,81,2637720.0,0,1,0,0,0
Utah Jazz,41.0,PF,20.0,234.0,82,2239800.0,0,1,0,0,0
Miami Heat,20.0,SF,20.0,225.0,79,2481720.0,0,0,0,1,0
Philadelphia 76ers,35.0,PF,20.0,220.0,83,525093.0,0,1,0,0,0
Golden State Warriors,36.0,SF,20.0,220.0,81,1131960.0,0,0,0,1,0
Orlando Magic,0.0,PF,20.0,220.0,81,4171680.0,0,1,0,0,0
BC,13.0,SG,20.0,215.0,78,1749840.0,0,0,0,0,1
Toronto Raptors,20.0,SF,20.0,205.0,81,1524000.0,0,0,0,1,0
Washington Wizards,12.0,SF,20.0,205.0,79,1920240.0,0,0,0,1,0
Denver Nuggets,0.0,PG,20.0,200.0,77,3102240.0,0,0,1,0,0
Los Angeles Lakers,1.0,PG,20.0,195.0,77,5103120.0,0,0,1,0,0
Minnesota Timberwolves,1.0,PG,20.0,195.0,74,1282080.0,0,0,1,0,0
Utah Jazz,11.0,PG,20.0,190.0,78,3777720.0,0,0,1,0,0
Denver Nuggets,23.0,C,21.0,280.0,84,1842000.0,1,0,0,0,0
Los Angeles Lakers,30.0,PF,21.0,250.0,81,3132240.0,0,1,0,0,0
Milwaukee Bucks,12.0,PF,21.0,250.0,80,5152440.0,0,1,0,0,0
Denver Nuggets,15.0,C,21.0,250.0,82,1300000.0,1,0,0,0,0
Milwaukee Bucks,17.0,SF,21.0,246.0,80,855000.0,0,0,0,1,0
BC,55.0,PF,21.0,235.0,80,1170960.0,0,1,0,0,0
Chicago Bulls,5.0,PF,21.0,230.0,83,1391160.0,0,1,0,0,0
Milwaukee Bucks,34.0,SF,21.0,222.0,83,1953960.0,0,0,0,1,0
Brooklyn Nets,24.0,SG,21.0,220.0,79,1335480.0,0,0,0,0,1
Orlando Magic,23.0,SG,21.0,218.0,80,3741480.0,0,0,0,0,1
Charlotte Hornets,9.0,SG,21.0,210.0,78,525093.0,0,0,0,0,1
Denver Nuggets,14.0,SG,21.0,210.0,76,1584480.0,0,0,0,0,1
Memphis Grizzlies,3.0,SG,21.0,209.0,77,1404600.0,0,0,0,0,1
Brooklyn Nets,1.0,PF,21.0,200.0,83,1140240.0,0,1,0,0,0
Phoenix Suns,20.0,SG,21.0,200.0,77,1160160.0,0,0,0,0,1
Minnesota Timberwolves,22.0,SG,21.0,199.0,80,5758680.0,0,0,0,0,1
Milwaukee Bucks,11.0,PG,21.0,194.0,75,1662360.0,0,0,1,0,0
Minnesota Timberwolves,8.0,PG,21.0,189.0,77,2148360.0,0,0,1,0,0
Oklahoma City Thunder,22.0,PG,21.0,185.0,75,2021520.0,0,0,1,0,0
Detroit Pistons,0.0,C,22.0,279.0,83,3272091.0,1,0,0,0,0
Phoenix Suns,21.0,C,22.0,260.0,85,3807120.0,1,0,0,0,0
Oklahoma City Thunder,12.0,C,22.0,255.0,84,2279040.0,1,0,0,0,0
Philadelphia 76ers,21.0,C,22.0,250.0,84,4626960.0,1,0,0,0,0
Philadelphia 76ers,22.0,PF,22.0,245.0,82,1074169.0,0,1,0,0,0
Sacramento Kings,0.0,C,22.0,240.0,84,3398280.0,1,0,0,0,0
Houston Rockets,15.0,PF,22.0,240.0,82,1242720.0,0,1,0,0,0
Houston Rockets,35.0,PF,22.0,240.0,80,1000000.0,0,1,0,0,0
Memphis Grizzlies,10.0,PF,22.0,239.0,82,1230840.0,0,1,0,0,0
Charlotte Hornets,14.0,SF,22.0,232.0,79,6331404.0,0,0,0,1,0
Phoenix Suns,12.0,SF,22.0,230.0,80,2041080.0,0,0,0,1,0
Houston Rockets,7.0,SF,22.0,230.0,81,1646400.0,0,0,0,1,0
San Antonio Spurs,1.0,SF,22.0,230.0,81,1142880.0,0,0,0,1,0
Philadelphia 76ers,4.0,PF,22.0,228.0,83,3457800.0,0,1,0,0,0
Dallas Mavericks,1.0,SG,22.0,228.0,78,1449000.0,0,0,0,0,1
Indiana Pacers,40.0,SG,22.0,222.0,79,1100000.0,0,0,0,0,1
BC,36.0,PG,22.0,220.0,76,3431040.0,0,0,1,0,0
Philadelphia 76ers,39.0,SF,22.0,210.0,80,845059.0,0,0,0,1,0
Brooklyn Nets,10.0,SG,22.0,208.0,79,1599840.0,0,0,0,0,1
Washington Wizards,3.0,SG,22.0,207.0,77,5694674.0,0,0,0,0,1
Philadelphia 76ers,11.0,SG,22.0,205.0,78,2869440.0,0,0,0,0,1
Miami Heat,0.0,SG,22.0,200.0,78,525093.0,0,0,0,0,1
BC,12.0,PG,22.0,190.0,74,1824360.0,0,0,1,0,0
BC,28.0,SG,22.0,185.0,77,1148640.0,0,0,0,0,1
Orlando Magic,4.0,PG,22.0,185.0,76,2505720.0,0,0,1,0,0
Atlanta Hawks,17.0,PG,22.0,172.0,73,1763400.0,0,0,1,0,0
Chicago Bulls,6.0,PF,23.0,275.0,82,525093.0,0,1,0,0,0
Phoenix Suns,15.0,C,23.0,260.0,80,83397.0,1,0,0,0,0
Milwaukee Bucks,77.0,PF,23.0,257.0,81,845059.0,0,1,0,0,0
New Orleans Pelicans,23.0,PF,23.0,253.0,82,7070730.0,0,1,0,0,0
Toronto Raptors,8.0,C,23.0,245.0,81,2814000.0,1,0,0,0,0
Utah Jazz,27.0,C,23.0,245.0,85,1175880.0,1,0,0,0,0
Golden State Warriors,20.0,SF,23.0,240.0,81,845059.0,0,0,0,1,0
Charlotte Hornets,44.0,C,23.0,240.0,84,2612520.0,1,0,0,0,0
Charlotte Hornets,40.0,C,23.0,240.0,84,4204200.0,1,0,0,0,0
Detroit Pistons,34.0,SF,23.0,235.0,81,16000000.0,0,0,0,1,0
Los Angeles Lakers,7.0,PF,23.0,230.0,81,1155600.0,0,1,0,0,0
Memphis Grizzlies,19.0,SF,23.0,230.0,78,1201440.0,0,0,0,1,0
Los Angeles Clippers,22.0,SF,23.0,225.0,78,525093.0,0,0,0,1,0
Minnesota Timberwolves,15.0,SF,23.0,223.0,78,2056920.0,0,0,0,1,0
Toronto Raptors,92.0,C,23.0,220.0,84,1842000.0,1,0,0,0,0
Toronto Raptors,24.0,SG,23.0,215.0,76,650000.0,0,0,0,0,1
Portland Trail Blazers,4.0,SF,23.0,215.0,81,2894059.0,0,0,0,1,0
Denver Nuggets,9.0,SG,23.0,214.0,81,258489.0,0,0,0,0,1
Los Angeles Lakers,3.0,SF,23.0,210.0,79,700000.0,0,0,0,1,0
Denver Nuggets,6.0,SG,23.0,210.0,79,4842684.105381166,0,0,0,0,1
Portland Trail Blazers,5.0,SG,23.0,206.0,77,625093.0,0,0,0,0,1
Utah Jazz,5.0,SG,23.0,206.0,80,1348440.0,0,0,0,0,1
New York Knicks,43.0,SF,23.0,205.0,79,30888.0,0,0,0,1,0
New York Knicks,5.0,SG,23.0,205.0,78,167406.0,0,0,0,0,1
Detroit Pistons,5.0,SG,23.0,205.0,77,2891760.0,0,0,0,0,1
Detroit Pistons,6.0,SF,23.0,205.0,78,600000.0,0,0,0,1,0
Houston Rockets,32.0,SG,23.0,205.0,78,3189794.0,0,0,0,0,1
Orlando Magic,10.0,SG,23.0,205.0,79,2288205.0,0,0,0,0,1
New Orleans Pelicans,31.0,SG,23.0,203.0,78,169883.0,0,0,0,0,1
Los Angeles Clippers,25.0,PG,23.0,200.0,76,3110796.0,0,0,1,0,0
Detroit Pistons,8.0,PG,23.0,200.0,78,845059.0,0,0,1,0,0
Orlando Magic,11.0,SF,23.0,200.0,78,845059.0,0,0,0,1,0
Washington Wizards,22.0,SF,23.0,198.0,80,4662960.0,0,0,0,1,0
New York Knicks,13.0,PG,23.0,195.0,76,1572360.0,0,0,1,0,0
